XP_023931130.1	-	668	Chitin_synth_2	PF03142.18	527	6.3e-45	163.1	0.1	1	2	5.5e-32	3.4e-28	107.9	0.0	204	445	304	532	297	543	0.84	uncharacterized protein LOC106167634  partial [Lingula anatina]
XP_052097276.1	-	395	Chitin_synth_2	PF03142.18	527	3.2e-38	140.9	10.1	1	2	1.1e-34	6.5e-31	116.8	2.1	204	471	53	307	41	311	0.87	chitin synthase chs-2-like [Mytilus californianus]
XP_048772956.1	-	1526	Chitin_synth_2	PF03142.18	527	4.3e-35	130.6	0.4	1	2	2e-32	1.2e-28	109.3	0.0	159	451	793	1065	779	1072	0.79	chitin synthase chs-2-like isoform X4 [Ostrea edulis]
XP_048772955.1	-	1591	Chitin_synth_2	PF03142.18	527	4.9e-35	130.4	0.4	1	2	2.1e-32	1.3e-28	109.3	0.0	159	451	858	1130	844	1137	0.79	chitin synthase chs-2-like isoform X3 [Ostrea edulis]
XP_048772954.1	-	1616	Chitin_synth_2	PF03142.18	527	5.1e-35	130.4	0.4	1	2	1.8e-32	1.1e-28	109.5	0.0	159	452	883	1156	869	1171	0.79	chitin synthase chs-2-like isoform X2 [Ostrea edulis]
XP_048772953.1	-	1621	Chitin_synth_2	PF03142.18	527	5.1e-35	130.3	0.4	1	2	1.8e-32	1.1e-28	109.5	0.0	159	452	888	1161	874	1176	0.79	chitin synthase chs-2-like isoform X1 [Ostrea edulis]
XP_052101070.1	-	946	Chitin_synth_2	PF03142.18	527	1.2e-33	125.9	2.2	1	2	4.1e-32	2.5e-28	108.3	0.0	159	449	196	478	186	500	0.77	chitin synthase chs-2-like isoform X2 [Mytilus californianus]
XP_023327123.1	-	1324	Chitin_synth_2	PF03142.18	527	1.5e-33	125.5	10.1	1	2	1e-32	6.2e-29	110.3	1.1	201	441	734	972	696	1011	0.71	uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327124.1	-	1324	Chitin_synth_2	PF03142.18	527	1.5e-33	125.5	10.1	1	2	1e-32	6.2e-29	110.3	1.1	201	441	734	972	696	1011	0.71	uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327125.1	-	1324	Chitin_synth_2	PF03142.18	527	1.5e-33	125.5	10.1	1	2	1e-32	6.2e-29	110.3	1.1	201	441	734	972	696	1011	0.71	uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327126.1	-	1324	Chitin_synth_2	PF03142.18	527	1.5e-33	125.5	10.1	1	2	1e-32	6.2e-29	110.3	1.1	201	441	734	972	696	1011	0.71	uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_008295146.1	-	723	Chitin_synth_2	PF03142.18	527	1.8e-33	125.3	4.5	1	2	1.2e-30	7.4e-27	103.4	0.0	200	445	93	328	43	351	0.80	PREDICTED: uncharacterized protein LOC103368519 [Stegastes partitus]
XP_013777931.1	-	894	Chitin_synth_2	PF03142.18	527	4.9e-33	123.8	4.5	1	2	7.3e-34	4.4e-30	114.1	0.2	158	442	92	368	82	381	0.84	uncharacterized protein LOC106462542 [Limulus polyphemus]
XP_023116761.1	-	1278	Chitin_synth_2	PF03142.18	527	7.4e-33	123.2	6.3	1	2	7.7e-32	4.7e-28	107.4	0.0	160	444	610	885	565	891	0.77	chitin synthase chs-2-like [Amphiprion ocellaris]
XP_035825069.1	-	2243	Chitin_synth_2	PF03142.18	527	3.3e-32	121.1	1.6	1	2	7.2e-30	4.4e-26	100.9	0.0	197	442	1382	1616	1326	1628	0.78	chitin synthase chs-2 [Aplysia californica]
XP_014832381.1	-	812	Chitin_synth_2	PF03142.18	527	4.5e-32	120.6	1.4	1	2	2e-28	1.2e-24	96.1	0.0	203	426	177	388	124	414	0.84	PREDICTED: uncharacterized protein LOC106910296 [Poecilia mexicana]
XP_017303059.1	-	1196	Chitin_synth_2	PF03142.18	527	5e-32	120.5	14.8	1	3	1.1e-26	7e-23	90.3	0.0	204	418	299	501	291	527	0.84	LOW QUALITY PROTEIN: chitin synthase chs-2-like [Diaphorina citri]
XP_023270455.1	-	974	Chitin_synth_2	PF03142.18	527	5.3e-32	120.4	8.2	1	2	8.3e-31	5e-27	104.0	0.0	200	440	330	555	231	570	0.80	uncharacterized protein LOC111661195 [Seriola lalandi dorsalis]
XP_046547881.1	-	1175	Chitin_synth_2	PF03142.18	527	1e-31	119.4	2.1	1	2	4.8e-29	3e-25	98.1	0.0	200	452	272	510	232	531	0.77	chitin synthase chs-2-like [Haliotis rubra]
XP_038581355.1	-	1278	Chitin_synth_2	PF03142.18	527	1.2e-31	119.2	5.3	1	2	1.1e-28	6.9e-25	96.9	0.0	203	439	627	851	615	880	0.83	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Micropterus salmoides]
XP_026327265.1	-	1543	Chitin_synth_2	PF03142.18	527	1.3e-31	119.1	9.5	1	2	8.7e-29	5.3e-25	97.3	3.4	203	445	724	954	689	987	0.79	chitin synthase chs-2-like [Hyposmocoma kahamanoa]
XP_026327273.1	-	1543	Chitin_synth_2	PF03142.18	527	1.3e-31	119.1	9.5	1	2	8.7e-29	5.3e-25	97.3	3.4	203	445	724	954	689	987	0.79	chitin synthase chs-2-like [Hyposmocoma kahamanoa]
XP_016533008.1	-	393	Chitin_synth_2	PF03142.18	527	2.1e-31	118.4	8.9	1	2	7.5e-31	4.6e-27	104.1	0.0	203	444	28	259	19	267	0.84	PREDICTED: chitin synthase 8-like [Poecilia formosa]
XP_048744160.1	-	1392	Chitin_synth_2	PF03142.18	527	2.3e-31	118.3	1.3	1	2	5.6e-31	3.4e-27	104.5	0.2	160	426	654	917	644	966	0.74	chitin synthase-like isoform X3 [Ostrea edulis]
XP_048744165.1	-	1375	Chitin_synth_2	PF03142.18	527	2.3e-31	118.3	1.3	1	2	5.6e-31	3.4e-27	104.5	0.2	160	426	637	900	627	949	0.74	chitin synthase-like isoform X5 [Ostrea edulis]
XP_048744166.1	-	1375	Chitin_synth_2	PF03142.18	527	2.3e-31	118.3	1.3	1	2	5.6e-31	3.4e-27	104.5	0.2	160	426	637	900	627	949	0.74	chitin synthase-like isoform X5 [Ostrea edulis]
