XP_049270093.1	-	2170	msaprobs_alignment_4742434	-	652	0	1148.4	0.0	1	2	6.1e-189	3.4e-185	627.2	0.0	9	639	369	1236	361	1350	0.88	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_049270093.1	-	2170	msaprobs_alignment_4742434	-	652	0	1148.4	0.0	2	2	9.2e-156	5.2e-152	517.6	0.0	178	640	1377	2044	1350	2082	0.94	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2	-	2324	msaprobs_alignment_4742434	-	652	0	1104.4	22.8	1	2	4.7e-170	2.7e-166	564.8	2.1	32	640	45	875	12	914	0.89	LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_026880781.2	-	2324	msaprobs_alignment_4742434	-	652	0	1104.4	22.8	2	2	7.8e-167	4.4e-163	554.2	2.0	12	639	1214	2278	1205	2300	0.88	LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_043656733.1	-	1614	msaprobs_alignment_4742434	-	652	3.5e-259	871.7	0.8	1	1	4.3e-262	2.5e-258	868.9	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila teissieri]
XP_043656735.1	-	1614	msaprobs_alignment_4742434	-	652	3.5e-259	871.7	0.8	1	1	4.3e-262	2.5e-258	868.9	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila teissieri]
XP_015032822.1	-	1617	msaprobs_alignment_4742434	-	652	3.8e-259	871.6	0.1	1	1	6.3e-262	3.6e-258	868.4	0.0	10	640	415	1400	412	1458	0.96	chitin synthase chs-2 isoform X1 [Drosophila willistoni]
XP_039495856.1	-	1614	msaprobs_alignment_4742434	-	652	4.4e-259	871.4	1.5	1	1	3.7e-262	2.1e-258	869.1	0.1	10	640	410	1394	406	1451	0.96	chitin synthase chs-2 isoform X2 [Drosophila santomea]
XP_016962460.1	-	1611	msaprobs_alignment_4742434	-	652	5.1e-259	871.2	1.3	1	1	5.6e-262	3.1e-258	868.5	0.1	10	640	410	1390	405	1441	0.96	chitin synthase chs-2 isoform X1 [Drosophila biarmipes]
XP_016962461.1	-	1611	msaprobs_alignment_4742434	-	652	5.1e-259	871.2	1.3	1	1	5.6e-262	3.1e-258	868.5	0.1	10	640	410	1390	405	1441	0.96	chitin synthase chs-2 isoform X1 [Drosophila biarmipes]
XP_050745240.1	-	1611	msaprobs_alignment_4742434	-	652	5.1e-259	871.2	1.3	1	1	5.6e-262	3.1e-258	868.5	0.1	10	640	410	1390	405	1441	0.96	chitin synthase chs-2 isoform X1 [Drosophila biarmipes]
XP_033162000.1	-	1614	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X3 [Drosophila mauritiana]
XP_032576208.1	-	1614	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X3 [Drosophila sechellia]
XP_033161995.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_033161996.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_033161997.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_033161998.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_032576205.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila sechellia]
XP_032576206.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila sechellia]
NP_524233.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	krotzkopf verkehrt  isoform A [Drosophila melanogaster]
NP_996152.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	krotzkopf verkehrt  isoform C [Drosophila melanogaster]
XP_016033301.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila simulans]
XP_016033303.1	-	1615	msaprobs_alignment_4742434	-	652	6.5e-259	870.8	1.6	1	1	5.3e-262	3e-258	868.6	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila simulans]
XP_016033302.1	-	1614	msaprobs_alignment_4742434	-	652	6.7e-259	870.8	1.6	1	1	5.9e-262	3.3e-258	868.5	0.1	10	640	410	1390	407	1442	0.96	chitin synthase chs-2 isoform X3 [Drosophila simulans]
XP_015047134.1	-	1614	msaprobs_alignment_4742434	-	652	6.9e-259	870.7	2.1	1	1	4e-262	2.3e-258	869.0	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila yakuba]
XP_039232274.1	-	1614	msaprobs_alignment_4742434	-	652	6.9e-259	870.7	2.1	1	1	4e-262	2.3e-258	869.0	0.1	10	640	410	1391	405	1443	0.96	chitin synthase chs-2 isoform X1 [Drosophila yakuba]
