XP_035623212.1       -          msaprobs_alignment_4742434 -            1.1e-58  208.6  14.3   1.8e-36  135.2  14.7   3.9   1   1   1   2   2   2   2 hyaluronan synthase 1-like [Oncorhynchus keta]
XP_006641657.1       -          msaprobs_alignment_4742434 -            5.4e-58  206.3   7.4   3.6e-35  130.9   7.9   3.9   2   2   0   2   2   2   2 PREDICTED: uncharacterized protein LOC102693980 [Lepisosteus oculatus]
XP_037301253.1       -          msaprobs_alignment_4742434 -            2.4e-52  187.7   0.9   2.6e-52  187.5   0.9   1.0   1   0   0   1   1   1   1 chitin synthase chs-2-like [Manduca sexta]
XP_028975888.2       -          msaprobs_alignment_4742434 -            4.2e-50  180.3   0.2   6.1e-50  179.7   0.2   1.3   1   0   0   1   1   1   1 chitin synthase chs-2-like [Esox lucius]
XP_032835949.1       -          msaprobs_alignment_4742434 -              8e-49  176.0   8.7     2e-39  145.0   0.3   3.2   1   1   2   3   3   2   2 uncharacterized protein LOC116957733 [Petromyzon marinus]
XP_035624484.1       -          msaprobs_alignment_4742434 -            3.3e-44  160.8   0.5   5.9e-44  159.9   0.5   1.4   1   1   0   1   1   1   1 hyaluronan synthase 2-like, partial [Oncorhynchus keta]
XP_021577368.2       -          msaprobs_alignment_4742434 -            1.9e-41  151.7   0.0   4.6e-40  147.1   0.0   2.3   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X4 [Ictidomys tridecemlineatus]
XP_040135017.1       -          msaprobs_alignment_4742434 -            1.9e-41  151.6   0.0   4.9e-40  147.0   0.0   2.4   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X3 [Ictidomys tridecemlineatus]
XP_043455455.1       -          msaprobs_alignment_4742434 -            2.9e-40  147.8   0.0   1.5e-38  142.1   0.0   2.4   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X2 [Prionailurus bengalensis]
XP_041374233.1       -          msaprobs_alignment_4742434 -            3.4e-40  147.5   0.5   5.5e-40  146.8   0.5   1.3   1   0   0   1   1   1   1 chitin synthase chs-2-like [Gigantopelta aegis]
XP_030153539.1       -          msaprobs_alignment_4742434 -            3.7e-40  147.4   0.0   1.9e-38  141.7   0.0   2.4   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X2 [Lynx canadensis]
XP_003998242.2       -          msaprobs_alignment_4742434 -            6.4e-40  146.6   0.0   3.3e-38  140.9   0.0   2.4   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X2 [Felis catus]
XP_022324976.1       -          msaprobs_alignment_4742434 -              7e-40  146.5   0.2   9.2e-40  146.1   0.2   1.1   1   0   0   1   1   1   1 LOW QUALITY PROTEIN: uncharacterized protein LOC111125449 [Crassostrea virginica]
XP_014683163.2       -          msaprobs_alignment_4742434 -            2.2e-39  144.8   0.0   1.6e-37  138.7   0.0   2.3   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X3 [Equus asinus]
XP_018867522.1       -          msaprobs_alignment_4742434 -            2.3e-39  144.8   0.0   1.3e-37  139.0   0.0   2.4   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X2 [Gorilla gorilla gorilla]
XP_037062139.1       -          msaprobs_alignment_4742434 -            8.4e-39  142.9   0.0     4e-37  137.4   0.0   2.3   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X3 [Peromyscus leucopus]
XP_028333504.1       -          msaprobs_alignment_4742434 -            1.1e-38  142.5   0.0   4.5e-37  137.2   0.0   2.4   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X2 [Physeter catodon]
XP_025225301.1       -          msaprobs_alignment_4742434 -            2.1e-38  141.6   0.0   1.6e-36  135.4   0.0   2.4   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X2 [Theropithecus gelada]
XP_020138321.1       -          msaprobs_alignment_4742434 -            3.8e-38  140.7   0.0   2.1e-36  135.0   0.0   2.4   1   1   0   1   1   1   1 hyaluronan synthase 3 isoform X5 [Microcebus murinus]
XP_034561035.1       -          msaprobs_alignment_4742434 -            5.6e-38  140.2   2.3   6.7e-38  139.9   2.3   1.1   1   0   0   1   1   1   1 chitin synthase chs-2-like [Notolabrus celidotus]
XP_019791177.1       -          msaprobs_alignment_4742434 -            6.9e-37  136.6   0.0   8.1e-36  133.0   0.0   2.0   1   1   0   1   1   1   1 transport and Golgi organization protein 6 homolog isoform X3 [Tursiops truncatus]
XP_043874087.1       -          msaprobs_alignment_4742434 -            7.7e-35  129.8   0.1   4.2e-33  124.1   0.1   2.2   1   1   0   1   1   1   1 hyaluronan synthase 3-like, partial [Solea senegalensis]
XP_035252033.1       -          msaprobs_alignment_4742434 -            5.3e-33  123.8   0.0     1e-21   86.5   0.0   2.2   2   1   0   2   2   2   2 hyaluronan synthase 3 isoform X1 [Anguilla anguilla]
XP_035252034.1       -          msaprobs_alignment_4742434 -            5.3e-33  123.8   0.0     1e-21   86.5   0.0   2.2   2   1   0   2   2   2   2 hyaluronan synthase 3 isoform X1 [Anguilla anguilla]
XP_008420942.1       -          msaprobs_alignment_4742434 -            1.1e-27  106.2   1.6   1.4e-27  105.9   1.6   1.1   1   0   0   1   1   1   1 PREDICTED: uncharacterized protein LOC103472863 [Poecilia reticulata]
XP_041949291.1       -          msaprobs_alignment_4742434 -            5.5e-16   67.5   0.0   5.6e-16   67.5   0.0   1.0   1   0   0   1   1   1   1 chitin synthase chs-1-like [Alosa sapidissima]
XP_033492648.1       -          msaprobs_alignment_4742434 -            2.3e-15   65.5   0.0   2.6e-15   65.3   0.0   1.0   1   0   0   1   1   1   1 chitin synthase chs-1-like [Epinephelus lanceolatus]
XP_033492649.1       -          msaprobs_alignment_4742434 -            2.3e-15   65.5   0.0   2.6e-15   65.3   0.0   1.0   1   0   0   1   1   1   1 chitin synthase chs-1-like [Epinephelus lanceolatus]
XP_008420943.1       -          msaprobs_alignment_4742434 -            3.9e-14   61.4   1.2   4.3e-14   61.3   1.2   1.1   1   0   0   1   1   1   1 PREDICTED: uncharacterized protein LOC103472864 [Poecilia reticulata]
XP_037553221.1       -          msaprobs_alignment_4742434 -            2.8e-13   58.6   0.1   3.2e-13   58.4   0.1   1.0   1   0   0   1   1   1   1 chitin synthase chs-1-like, partial [Nematolebias whitei]
XP_025095095.1       -          msaprobs_alignment_4742434 -            3.3e-13   58.3   0.0   9.9e-07   36.9   0.0   2.2   2   0   0   2   2   2   2 uncharacterized protein LOC112564466 [Pomacea canaliculata]
XP_022311945.1       -          msaprobs_alignment_4742434 -            2.4e-12   55.5   0.0   3.1e-12   55.1   0.0   1.1   1   0   0   1   1   1   1 uncharacterized protein LOC111117154 [Crassostrea virginica]
