XP_037509155.1	msaprobs_alignment_4742434	0.0	3.599999999999999e-189	2.2e-185	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2	msaprobs_alignment_4742434	0.0	2.8e-170	1.7e-166	LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_043656733.1	msaprobs_alignment_4742434	2.1999999999999998e-259	2.6e-262	1.6e-258	chitin synthase chs-2 isoform X1 [Drosophila teissieri]
XP_039495856.1	msaprobs_alignment_4742434	2.8e-259	2.2e-262	1.4e-258	chitin synthase chs-2 isoform X2 [Drosophila santomea]
XP_033162000.1	msaprobs_alignment_4742434	4.2e-259	3.2e-262	1.9000000000000001e-258	chitin synthase chs-2 isoform X3 [Drosophila mauritiana]
XP_032576208.1	msaprobs_alignment_4742434	4.2e-259	3.2e-262	1.9000000000000001e-258	chitin synthase chs-2 isoform X3 [Drosophila sechellia]
XP_033161995.1	msaprobs_alignment_4742434	4.2e-259	3.2e-262	1.9000000000000001e-258	chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_032576205.1	msaprobs_alignment_4742434	4.2e-259	3.2e-262	1.9000000000000001e-258	chitin synthase chs-2 isoform X1 [Drosophila sechellia]
NP_524233.1	msaprobs_alignment_4742434	4.2e-259	3.2e-262	1.9000000000000001e-258	krotzkopf verkehrt  isoform A [Drosophila melanogaster]
NP_996152.1	msaprobs_alignment_4742434	4.2e-259	3.2e-262	1.9000000000000001e-258	krotzkopf verkehrt  isoform C [Drosophila melanogaster]
XP_016033301.1	msaprobs_alignment_4742434	4.2e-259	3.2e-262	1.9000000000000001e-258	chitin synthase chs-2 isoform X1 [Drosophila simulans]
XP_016033302.1	msaprobs_alignment_4742434	4.2999999999999995e-259	3.5e-262	2.1000000000000004e-258	chitin synthase chs-2 isoform X3 [Drosophila simulans]
XP_015047134.1	msaprobs_alignment_4742434	4.5e-259	2.4e-262	1.5e-258	chitin synthase chs-2 isoform X1 [Drosophila yakuba]
XP_036674875.1	msaprobs_alignment_4742434	6.2e-259	3.2999999999999997e-262	2e-258	chitin synthase chs-2 isoform X1 [Drosophila suzukii]
XP_014766586.1	msaprobs_alignment_4742434	6.499999999999999e-259	1.1e-261	7e-258	chitin synthase chs-2 isoform X1 [Drosophila ananassae]
