XP_037509155.1	2184	msaprobs_alignment_4742434	0.0	3.599999999999999e-189	2.2e-185	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_037509155.1	2184	msaprobs_alignment_4742434	0.0	6.1e-156	3.7e-152	LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2	2324	msaprobs_alignment_4742434	0.0	2.8e-170	1.7e-166	LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_026880781.2	2324	msaprobs_alignment_4742434	0.0	4.7000000000000004e-167	2.8e-163	LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_043656733.1	1614	msaprobs_alignment_4742434	2.1999999999999998e-259	2.6e-262	1.6e-258	chitin synthase chs-2 isoform X1 [Drosophila teissieri]
XP_039495856.1	1614	msaprobs_alignment_4742434	2.8e-259	2.2e-262	1.4e-258	chitin synthase chs-2 isoform X2 [Drosophila santomea]
XP_033162000.1	1614	msaprobs_alignment_4742434	4.2e-259	3.2e-262	1.9000000000000001e-258	chitin synthase chs-2 isoform X3 [Drosophila mauritiana]
XP_016033302.1	1614	msaprobs_alignment_4742434	4.2999999999999995e-259	3.5e-262	2.1000000000000004e-258	chitin synthase chs-2 isoform X3 [Drosophila simulans]
XP_015047134.1	1614	msaprobs_alignment_4742434	4.5e-259	2.4e-262	1.5e-258	chitin synthase chs-2 isoform X1 [Drosophila yakuba]
XP_036674875.1	1611	msaprobs_alignment_4742434	6.2e-259	3.2999999999999997e-262	2e-258	chitin synthase chs-2 isoform X1 [Drosophila suzukii]
XP_014766586.1	1613	msaprobs_alignment_4742434	6.499999999999999e-259	1.1e-261	7e-258	chitin synthase chs-2 isoform X1 [Drosophila ananassae]
XP_002096048.2	1614	msaprobs_alignment_4742434	1.7000000000000001e-258	1.2e-261	7.2000000000000005e-258	chitin synthase chs-2 isoform X2 [Drosophila yakuba]
XP_017142971.1	1613	msaprobs_alignment_4742434	1.8000000000000001e-258	2.0000000000000002e-261	1.1999999999999999e-257	chitin synthase chs-2 isoform X1 [Drosophila miranda]
XP_039495857.1	1614	msaprobs_alignment_4742434	2e-258	1.1e-261	6.5e-258	chitin synthase chs-2 isoform X1 [Drosophila santomea]
XP_033161999.1	1615	msaprobs_alignment_4742434	2e-258	1.8e-261	1.1e-257	chitin synthase chs-2 isoform X2 [Drosophila mauritiana]
XP_033162002.1	1614	msaprobs_alignment_4742434	2.1000000000000004e-258	1.7e-261	1e-257	chitin synthase chs-2 isoform X4 [Drosophila mauritiana]
XP_003736740.2	1613	msaprobs_alignment_4742434	2.1000000000000004e-258	2.9e-261	1.8e-257	chitin synthase chs-2 isoform X1 [Drosophila pseudoobscura]
XP_043656734.1	1614	msaprobs_alignment_4742434	2.2e-258	1.3e-261	7.800000000000001e-258	chitin synthase chs-2 isoform X2 [Drosophila teissieri]
XP_034664926.1	1615	msaprobs_alignment_4742434	3.2e-258	3.1e-261	1.8999999999999998e-257	chitin synthase chs-2 isoform X1 [Drosophila subobscura]
XP_017847430.1	1604	msaprobs_alignment_4742434	4.8e-258	6.4e-261	3.9e-257	chitin synthase chs-2 isoform X1 [Drosophila busckii]
XP_034116463.1	1599	msaprobs_alignment_4742434	8.200000000000001e-258	1.5e-260	9.3e-257	chitin synthase chs-2 isoform X1 [Drosophila albomicans]
XP_017847432.1	1604	msaprobs_alignment_4742434	6.1999999999999994e-257	4.4e-260	2.7e-256	chitin synthase chs-2 isoform X2 [Drosophila busckii]
XP_034116466.1	1599	msaprobs_alignment_4742434	9.2e-257	8.100000000000001e-260	5e-256	chitin synthase chs-2 isoform X2 [Drosophila albomicans]
XP_037728936.1	1552	msaprobs_alignment_4742434	1.7e-256	1.0999999999999999e-259	6.499999999999999e-256	chitin synthase chs-2 isoform X3 [Drosophila subpulchrella]
XP_033244515.1	1613	msaprobs_alignment_4742434	6.1e-256	1.4999999999999998e-259	9.2e-256	chitin synthase chs-2 isoform X2 [Drosophila miranda]
XP_001359390.4	1613	msaprobs_alignment_4742434	7.7e-256	2e-259	1.2e-255	chitin synthase chs-2 isoform X2 [Drosophila pseudoobscura]
XP_034664927.1	1615	msaprobs_alignment_4742434	1.1e-255	2.8e-259	1.7e-255	chitin synthase chs-2 isoform X2 [Drosophila subobscura]
XP_033234120.1	1554	msaprobs_alignment_4742434	3.3e-254	7.400000000000001e-258	4.5e-254	chitin synthase chs-2 isoform X3 [Drosophila pseudoobscura]
XP_037945234.1	1592	msaprobs_alignment_4742434	3.1e-253	5.1e-257	3.1e-253	chitin synthase chs-2 isoform X1 [Teleopsis dalmanni]
XP_037945236.1	1592	msaprobs_alignment_4742434	1.6e-252	2.5999999999999998e-256	1.6e-252	chitin synthase chs-2 isoform X2 [Teleopsis dalmanni]
XP_040158698.1	1578	msaprobs_alignment_4742434	7e-252	5.0000000000000005e-255	3.0999999999999996e-251	chitin synthase chs-2 isoform X1 [Anopheles arabiensis]
XP_039958108.1	1592	msaprobs_alignment_4742434	7.4e-252	5.299999999999999e-255	3.2e-251	chitin synthase chs-2 isoform X1 [Bactrocera tryoni]
XP_035796291.1	1578	msaprobs_alignment_4742434	8.100000000000001e-252	6.4e-255	3.8999999999999995e-251	chitin synthase chs-2-like isoform X3 [Anopheles albimanus]
XP_035796289.1	1615	msaprobs_alignment_4742434	8.600000000000001e-252	6.5e-255	4e-251	chitin synthase chs-2-like isoform X1 [Anopheles albimanus]
XP_040158708.1	1578	msaprobs_alignment_4742434	8.9e-252	2.9e-255	1.7999999999999997e-251	chitin synthase chs-2 isoform X2 [Anopheles arabiensis]
XP_035796292.1	1578	msaprobs_alignment_4742434	9.800000000000001e-252	6.9e-255	4.2e-251	chitin synthase chs-2-like isoform X4 [Anopheles albimanus]
XP_035796290.1	1615	msaprobs_alignment_4742434	1e-251	7.0000000000000005e-255	4.2999999999999994e-251	chitin synthase chs-2-like isoform X2 [Anopheles albimanus]
XP_040229355.1	1578	msaprobs_alignment_4742434	1e-251	7.499999999999999e-255	4.5999999999999996e-251	chitin synthase chs-2 isoform X3 [Anopheles coluzzii]
XP_040229353.1	1614	msaprobs_alignment_4742434	1.0999999999999998e-251	7.299999999999999e-255	4.5e-251	chitin synthase chs-2 isoform X1 [Anopheles coluzzii]
XP_035896990.1	1578	msaprobs_alignment_4742434	1.3e-251	8.7e-255	5.3e-251	chitin synthase chs-2 isoform X3 [Anopheles stephensi]
XP_040229354.1	1614	msaprobs_alignment_4742434	1.4e-251	8.5e-255	5.2e-251	chitin synthase chs-2 isoform X2 [Anopheles coluzzii]
XP_035896989.1	1624	msaprobs_alignment_4742434	1.5e-251	9.3e-255	5.6e-251	chitin synthase chs-2 isoform X2 [Anopheles stephensi]
XP_035896992.1	1578	msaprobs_alignment_4742434	1.6999999999999999e-251	9.5e-255	5.799999999999999e-251	chitin synthase chs-2 isoform X4 [Anopheles stephensi]
XP_035896988.1	1624	msaprobs_alignment_4742434	1.6999999999999999e-251	1.0000000000000001e-254	6.0999999999999995e-251	chitin synthase chs-2 isoform X1 [Anopheles stephensi]
XP_021704897.1	1576	msaprobs_alignment_4742434	2.4999999999999997e-251	1.8e-254	1.1e-250	uncharacterized protein LOC5575776 isoform X4 [Aedes aegypti]
XP_021704892.1	1616	msaprobs_alignment_4742434	2.6999999999999997e-251	2.8000000000000002e-254	1.7e-250	uncharacterized protein LOC5575776 isoform X2 [Aedes aegypti]
