#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
XP_023931130.1       -            668 Chitin_synth_2       PF03142.18   527   6.3e-45  163.1   0.1   1   2   5.5e-32   3.4e-28  107.9   0.0   204   445   304   532   297   543 0.84 uncharacterized protein LOC106167634, partial [Lingula anatina]
XP_023931130.1       -            668 Chitin_synth_2       PF03142.18   527   6.3e-45  163.1   0.1   2   2   4.2e-15   2.6e-11   52.2   0.0   204   292   563   649   557   655 0.90 uncharacterized protein LOC106167634, partial [Lingula anatina]
XP_052097276.1       -            395 Chitin_synth_2       PF03142.18   527   3.2e-38  140.9  10.1   1   2   1.1e-34   6.5e-31  116.8   2.1   204   471    53   307    41   311 0.87 chitin synthase chs-2-like [Mytilus californianus]
XP_052097276.1       -            395 Chitin_synth_2       PF03142.18   527   3.2e-38  140.9  10.1   2   2   1.6e-07   0.00096   27.2   4.1   407   491   305   388   294   394 0.77 chitin synthase chs-2-like [Mytilus californianus]
XP_048772956.1       -           1526 Chitin_synth_2       PF03142.18   527   4.3e-35  130.6   0.4   1   2     2e-32   1.2e-28  109.3   0.0   159   451   793  1065   779  1072 0.79 chitin synthase chs-2-like isoform X4 [Ostrea edulis]
XP_048772956.1       -           1526 Chitin_synth_2       PF03142.18   527   4.3e-35  130.6   0.4   2   2   6.3e-05      0.39   18.6   0.2   409   519  1077  1195  1063  1199 0.75 chitin synthase chs-2-like isoform X4 [Ostrea edulis]
XP_048772955.1       -           1591 Chitin_synth_2       PF03142.18   527   4.9e-35  130.4   0.4   1   2   2.1e-32   1.3e-28  109.3   0.0   159   451   858  1130   844  1137 0.79 chitin synthase chs-2-like isoform X3 [Ostrea edulis]
XP_048772955.1       -           1591 Chitin_synth_2       PF03142.18   527   4.9e-35  130.4   0.4   2   2   6.6e-05      0.41   18.5   0.2   409   519  1142  1260  1128  1264 0.75 chitin synthase chs-2-like isoform X3 [Ostrea edulis]
XP_048772954.1       -           1616 Chitin_synth_2       PF03142.18   527   5.1e-35  130.4   0.4   1   2   1.8e-32   1.1e-28  109.5   0.0   159   452   883  1156   869  1171 0.79 chitin synthase chs-2-like isoform X2 [Ostrea edulis]
XP_048772954.1       -           1616 Chitin_synth_2       PF03142.18   527   5.1e-35  130.4   0.4   2   2   6.7e-05      0.41   18.5   0.2   409   519  1167  1285  1153  1289 0.75 chitin synthase chs-2-like isoform X2 [Ostrea edulis]
XP_048772953.1       -           1621 Chitin_synth_2       PF03142.18   527   5.1e-35  130.3   0.4   1   2   1.8e-32   1.1e-28  109.5   0.0   159   452   888  1161   874  1176 0.79 chitin synthase chs-2-like isoform X1 [Ostrea edulis]
XP_048772953.1       -           1621 Chitin_synth_2       PF03142.18   527   5.1e-35  130.3   0.4   2   2   6.8e-05      0.41   18.5   0.2   409   519  1172  1290  1158  1294 0.75 chitin synthase chs-2-like isoform X1 [Ostrea edulis]
XP_052101070.1       -            946 Chitin_synth_2       PF03142.18   527   1.2e-33  125.9   2.2   1   2   4.1e-32   2.5e-28  108.3   0.0   159   449   196   478   186   500 0.77 chitin synthase chs-2-like isoform X2 [Mytilus californianus]
XP_052101070.1       -            946 Chitin_synth_2       PF03142.18   527   1.2e-33  125.9   2.2   2   2   0.00062       3.8   15.3   2.4   410   499   498   591   481   612 0.72 chitin synthase chs-2-like isoform X2 [Mytilus californianus]
XP_023327123.1       -           1324 Chitin_synth_2       PF03142.18   527   1.5e-33  125.5  10.1   1   2     1e-32   6.2e-29  110.3   1.1   201   441   734   972   696  1011 0.71 uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327123.1       -           1324 Chitin_synth_2       PF03142.18   527   1.5e-33  125.5  10.1   2   2   6.3e-05      0.39   18.6   2.3   450   493  1032  1074   981  1091 0.81 uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327124.1       -           1324 Chitin_synth_2       PF03142.18   527   1.5e-33  125.5  10.1   1   2     1e-32   6.2e-29  110.3   1.1   201   441   734   972   696  1011 0.71 uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327124.1       -           1324 Chitin_synth_2       PF03142.18   527   1.5e-33  125.5  10.1   2   2   6.3e-05      0.39   18.6   2.3   450   493  1032  1074   981  1091 0.81 uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327125.1       -           1324 Chitin_synth_2       PF03142.18   527   1.5e-33  125.5  10.1   1   2     1e-32   6.2e-29  110.3   1.1   201   441   734   972   696  1011 0.71 uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327125.1       -           1324 Chitin_synth_2       PF03142.18   527   1.5e-33  125.5  10.1   2   2   6.3e-05      0.39   18.6   2.3   450   493  1032  1074   981  1091 0.81 uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327126.1       -           1324 Chitin_synth_2       PF03142.18   527   1.5e-33  125.5  10.1   1   2     1e-32   6.2e-29  110.3   1.1   201   441   734   972   696  1011 0.71 uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_023327126.1       -           1324 Chitin_synth_2       PF03142.18   527   1.5e-33  125.5  10.1   2   2   6.3e-05      0.39   18.6   2.3   450   493  1032  1074   981  1091 0.81 uncharacterized protein LOC111700451 [Eurytemora affinis]
XP_008295146.1       -            723 Chitin_synth_2       PF03142.18   527   1.8e-33  125.3   4.5   1   2   1.2e-30   7.4e-27  103.4   0.0   200   445    93   328    43   351 0.80 PREDICTED: uncharacterized protein LOC103368519 [Stegastes partitus]
XP_008295146.1       -            723 Chitin_synth_2       PF03142.18   527   1.8e-33  125.3   4.5   2   2   0.00012      0.75   17.6   7.3   403   498   341   436   327   463 0.69 PREDICTED: uncharacterized protein LOC103368519 [Stegastes partitus]
XP_013777931.1       -            894 Chitin_synth_2       PF03142.18   527   4.9e-33  123.8   4.5   1   2   7.3e-34   4.4e-30  114.1   0.2   158   442    92   368    82   381 0.84 uncharacterized protein LOC106462542 [Limulus polyphemus]
XP_013777931.1       -            894 Chitin_synth_2       PF03142.18   527   4.9e-33  123.8   4.5   2   2     0.014        84   10.9   1.2   407   504   382   480   365   494 0.64 uncharacterized protein LOC106462542 [Limulus polyphemus]
XP_023116761.1       -           1278 Chitin_synth_2       PF03142.18   527   7.4e-33  123.2   6.3   1   2   7.7e-32   4.7e-28  107.4   0.0   160   444   610   885   565   891 0.77 chitin synthase chs-2-like [Amphiprion ocellaris]
