XP_037509155.1	2184	msaprobs_alignment_4742434	0	368	1236	0.88	LOW_QUALITY_PROTEIN:_chitin_synthase_chs-1-like_[Rhipicephalus_sanguineus]
XP_037509155.1	2184	msaprobs_alignment_4742434	0	1391	2057	0.92	LOW_QUALITY_PROTEIN:_chitin_synthase_chs-1-like_[Rhipicephalus_sanguineus]
XP_026880781.2	2324	msaprobs_alignment_4742434	0	45	875	0.89	LOW_QUALITY_PROTEIN:_chitin_synthase_1_[Electrophorus_electricus]
XP_026880781.2	2324	msaprobs_alignment_4742434	0	1214	2278	0.88	LOW_QUALITY_PROTEIN:_chitin_synthase_1_[Electrophorus_electricus]
XP_043656733.1	1614	msaprobs_alignment_4742434	2.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_teissieri]
XP_043656735.1	1614	msaprobs_alignment_4742434	2.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_teissieri]
XP_039495856.1	1614	msaprobs_alignment_4742434	2.8e-259	410	1394	0.96	chitin_synthase_chs-2_isoform_X2_[Drosophila_santomea]
XP_033162000.1	1614	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X3_[Drosophila_mauritiana]
XP_032576208.1	1614	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X3_[Drosophila_sechellia]
XP_033161995.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_mauritiana]
XP_033161996.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_mauritiana]
XP_033161997.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_mauritiana]
XP_033161998.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_mauritiana]
XP_032576205.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_sechellia]
XP_032576206.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_sechellia]
NP_524233.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	krotzkopf_verkehrt_isoform_A_[Drosophila_melanogaster]
NP_996152.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	krotzkopf_verkehrt_isoform_C_[Drosophila_melanogaster]
XP_016033301.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_simulans]
XP_016033303.1	1615	msaprobs_alignment_4742434	4.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_simulans]
XP_016033302.1	1614	msaprobs_alignment_4742434	4.3e-259	410	1390	0.96	chitin_synthase_chs-2_isoform_X3_[Drosophila_simulans]
XP_015047134.1	1614	msaprobs_alignment_4742434	4.5e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_yakuba]
XP_039232274.1	1614	msaprobs_alignment_4742434	4.5e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_yakuba]
XP_036674875.1	1611	msaprobs_alignment_4742434	6.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_suzukii]
XP_036674876.1	1611	msaprobs_alignment_4742434	6.2e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_suzukii]
XP_014766586.1	1613	msaprobs_alignment_4742434	6.5e-259	410	1390	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_ananassae]
XP_014766587.1	1613	msaprobs_alignment_4742434	6.5e-259	410	1390	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_ananassae]
XP_032305796.1	1613	msaprobs_alignment_4742434	6.5e-259	410	1390	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_ananassae]
XP_037728934.1	1611	msaprobs_alignment_4742434	6.9e-259	410	1391	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_subpulchrella]
XP_002096048.2	1614	msaprobs_alignment_4742434	1.7e-258	410	1392	0.96	chitin_synthase_chs-2_isoform_X2_[Drosophila_yakuba]
XP_017142971.1	1613	msaprobs_alignment_4742434	1.8e-258	412	1406	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_miranda]
XP_017142972.1	1613	msaprobs_alignment_4742434	1.8e-258	412	1406	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_miranda]
XP_017142974.1	1613	msaprobs_alignment_4742434	1.8e-258	412	1406	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_miranda]
XP_039495857.1	1614	msaprobs_alignment_4742434	2e-258	410	1395	0.96	chitin_synthase_chs-2_isoform_X1_[Drosophila_santomea]
XP_033161999.1	1615	msaprobs_alignment_4742434	2e-258	410	1391	0.96	chitin_synthase_chs-2_isoform_X2_[Drosophila_mauritiana]
XP_032576207.1	1615	msaprobs_alignment_4742434	2e-258	410	1391	0.96	chitin_synthase_chs-2_isoform_X2_[Drosophila_sechellia]
NP_730928.2	1615	msaprobs_alignment_4742434	2e-258	410	1391	0.96	krotzkopf_verkehrt_isoform_D_[Drosophila_melanogaster]
XP_016033300.1	1615	msaprobs_alignment_4742434	2e-258	410	1391	0.96	chitin_synthase_chs-2_isoform_X2_[Drosophila_simulans]
XP_033162002.1	1614	msaprobs_alignment_4742434	2.1e-258	410	1391	0.96	chitin_synthase_chs-2_isoform_X4_[Drosophila_mauritiana]
XP_032576209.1	1614	msaprobs_alignment_4742434	2.1e-258	410	1391	0.96	chitin_synthase_chs-2_isoform_X4_[Drosophila_sechellia]
