XP_012138664.1	1484	msaprobs_alignment_4742434	8e-270	10	557	223	898	215	900	PREDICTED: uncharacterized protein LOC100880935 isoform X7 [Megachile rotundata]
XP_012138664.1	1484	msaprobs_alignment_4742434	8e-270	468	640	898	1335	894	1414	PREDICTED: uncharacterized protein LOC100880935 isoform X7 [Megachile rotundata]
XP_012138656.1	1662	msaprobs_alignment_4742434	3e-269	10	557	401	1076	281	1078	PREDICTED: uncharacterized protein LOC100880935 isoform X1 [Megachile rotundata]
XP_012138656.1	1662	msaprobs_alignment_4742434	3e-269	469	640	1077	1512	1076	1592	PREDICTED: uncharacterized protein LOC100880935 isoform X1 [Megachile rotundata]
XP_012138657.1	1662	msaprobs_alignment_4742434	3e-269	10	557	401	1076	281	1078	PREDICTED: uncharacterized protein LOC100880935 isoform X1 [Megachile rotundata]
XP_012138657.1	1662	msaprobs_alignment_4742434	3e-269	469	640	1077	1512	1076	1592	PREDICTED: uncharacterized protein LOC100880935 isoform X1 [Megachile rotundata]
XP_012138659.1	1656	msaprobs_alignment_4742434	3.9e-269	10	557	401	1076	397	1078	PREDICTED: uncharacterized protein LOC100880935 isoform X3 [Megachile rotundata]
XP_012138659.1	1656	msaprobs_alignment_4742434	3.9e-269	469	640	1077	1487	1073	1539	PREDICTED: uncharacterized protein LOC100880935 isoform X3 [Megachile rotundata]
XP_012138658.1	1662	msaprobs_alignment_4742434	1.4e-268	10	557	401	1076	395	1078	PREDICTED: uncharacterized protein LOC100880935 isoform X2 [Megachile rotundata]
XP_012138658.1	1662	msaprobs_alignment_4742434	1.4e-268	468	640	1076	1512	1071	1592	PREDICTED: uncharacterized protein LOC100880935 isoform X2 [Megachile rotundata]
XP_012138660.1	1603	msaprobs_alignment_4742434	2.9e-267	10	557	401	1076	396	1078	PREDICTED: uncharacterized protein LOC100880935 isoform X4 [Megachile rotundata]
XP_012138660.1	1603	msaprobs_alignment_4742434	2.9e-267	468	640	1076	1454	1071	1533	PREDICTED: uncharacterized protein LOC100880935 isoform X4 [Megachile rotundata]
