#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                 accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----       -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
XP_049270093.1       -           2170 msaprobs_alignment_4742434 -            652         0 1148.4   0.0   1   2  9.9e-189  5.6e-185  627.2   0.0     9   639   369  1236   361  1350 0.88 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_049270093.1       -           2170 msaprobs_alignment_4742434 -            652         0 1148.4   0.0   2   2  1.5e-155  8.5e-152  517.6   0.0   178   640  1377  2044  1350  2082 0.94 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2       -           2324 msaprobs_alignment_4742434 -            652         0 1104.4  22.8   1   2  7.8e-170  4.4e-166  564.8   2.1    32   640    45   875    12   914 0.89 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_026880781.2       -           2324 msaprobs_alignment_4742434 -            652         0 1104.4  22.8   2   2  1.3e-166  7.2e-163  554.2   2.0    12   639  1214  2278  1205  2300 0.88 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_012138664.1       -           1484 msaprobs_alignment_4742434 -            652  2.1e-269  906.2   0.8   1   2  1.9e-224  1.1e-220  745.2   0.7    10   557   223   898   215   900 0.98 PREDICTED: uncharacterized protein LOC100880935 isoform X7 [Megachile rotundata]
XP_012138664.1       -           1484 msaprobs_alignment_4742434 -            652  2.1e-269  906.2   0.8   2   2   3.7e-47   2.1e-43  159.5   0.0   468   640   898  1335   894  1414 0.91 PREDICTED: uncharacterized protein LOC100880935 isoform X7 [Megachile rotundata]
XP_012138656.1       -           1662 msaprobs_alignment_4742434 -            652  7.6e-269  904.3   2.5   1   2  2.6e-224  1.5e-220  744.8   1.3    10   557   401  1076   281  1078 0.96 PREDICTED: uncharacterized protein LOC100880935 isoform X1 [Megachile rotundata]
XP_012138656.1       -           1662 msaprobs_alignment_4742434 -            652  7.6e-269  904.3   2.5   2   2   6.9e-47   3.9e-43  158.5   0.0   469   640  1077  1512  1076  1592 0.91 PREDICTED: uncharacterized protein LOC100880935 isoform X1 [Megachile rotundata]
XP_012138657.1       -           1662 msaprobs_alignment_4742434 -            652  7.6e-269  904.3   2.5   1   2  2.6e-224  1.5e-220  744.8   1.3    10   557   401  1076   281  1078 0.96 PREDICTED: uncharacterized protein LOC100880935 isoform X1 [Megachile rotundata]
XP_012138657.1       -           1662 msaprobs_alignment_4742434 -            652  7.6e-269  904.3   2.5   2   2   6.9e-47   3.9e-43  158.5   0.0   469   640  1077  1512  1076  1592 0.91 PREDICTED: uncharacterized protein LOC100880935 isoform X1 [Megachile rotundata]
XP_012138659.1       -           1656 msaprobs_alignment_4742434 -            652  9.9e-269  903.9   2.9   1   2    2e-224  1.1e-220  745.1   0.3    10   557   401  1076   397  1078 0.98 PREDICTED: uncharacterized protein LOC100880935 isoform X3 [Megachile rotundata]
XP_012138659.1       -           1656 msaprobs_alignment_4742434 -            652  9.9e-269  903.9   2.9   2   2   7.3e-47   4.1e-43  158.5   0.0   469   640  1077  1487  1073  1539 0.92 PREDICTED: uncharacterized protein LOC100880935 isoform X3 [Megachile rotundata]
XP_012138658.1       -           1662 msaprobs_alignment_4742434 -            652  3.6e-268  902.1   2.6   1   2    2e-224  1.1e-220  745.1   0.4    10   557   401  1076   395  1078 0.98 PREDICTED: uncharacterized protein LOC100880935 isoform X2 [Megachile rotundata]
XP_012138658.1       -           1662 msaprobs_alignment_4742434 -            652  3.6e-268  902.1   2.6   2   2   1.3e-46   7.3e-43  157.7   0.0   468   640  1076  1512  1071  1592 0.91 PREDICTED: uncharacterized protein LOC100880935 isoform X2 [Megachile rotundata]
XP_012138660.1       -           1603 msaprobs_alignment_4742434 -            652  7.3e-267  897.8   0.1   1   2  1.9e-224  1.1e-220  745.3   0.4    10   557   401  1076   396  1078 0.98 PREDICTED: uncharacterized protein LOC100880935 isoform X4 [Megachile rotundata]
XP_012138660.1       -           1603 msaprobs_alignment_4742434 -            652  7.3e-267  897.8   0.1   2   2   1.4e-44   7.8e-41  151.0   0.0   468   640  1076  1454  1071  1533 0.89 PREDICTED: uncharacterized protein LOC100880935 isoform X4 [Megachile rotundata]
XP_012138665.1       -           1437 msaprobs_alignment_4742434 -            652  1.3e-265  893.7   1.1   1   2  1.4e-224  8.1e-221  745.6   0.3    10   557   401  1076   397  1078 0.98 PREDICTED: uncharacterized protein LOC100880935 isoform X8 [Megachile rotundata]
XP_012138665.1       -           1437 msaprobs_alignment_4742434 -            652  1.3e-265  893.7   1.1   2   2   3.5e-43     2e-39  146.3   0.0   469   645  1077  1403  1075  1409 0.95 PREDICTED: uncharacterized protein LOC100880935 isoform X8 [Megachile rotundata]
XP_033334454.1       -           1665 msaprobs_alignment_4742434 -            652    6e-265  891.5   1.4   1   2  1.7e-222  9.5e-219  738.8   0.3    10   557   400  1077   395  1079 0.98 chitin synthase chs-2 isoform X1 [Megalopta genalis]
XP_033334454.1       -           1665 msaprobs_alignment_4742434 -            652    6e-265  891.5   1.4   2   2   1.7e-44   9.7e-41  150.6   0.0   469   640  1078  1506  1077  1592 0.91 chitin synthase chs-2 isoform X1 [Megalopta genalis]
XP_033334456.1       -           1665 msaprobs_alignment_4742434 -            652    6e-265  891.5   1.4   1   2  1.7e-222  9.5e-219  738.8   0.3    10   557   400  1077   395  1079 0.98 chitin synthase chs-2 isoform X1 [Megalopta genalis]
